file,coluymn,values
07_generate_nhse_eng_inpat.R,posopdur,"""Null = Not applicable: no procedure or episode is unfinished"" [0 people have this]"
07_generate_nhse_eng_inpat.R,preopdur,"""Null = Not applicable: no operation or procedure unfinished"" [0 people have this]"
07_generate_nhse_eng_inpat.R,procode3_ofh,random numbers 6 digits long
07_generate_nhse_eng_inpat.R,protype,"""CARETRUST = Care trust"", ""CCG = Clinical Commission Group"",""FOUNDATION = NHS foundation trust""*, ""IND = Independent sector provider"", ""INDSITE = Independent sector provider site"", ""INDSITETC = Treatment centre at independent sector provider site"", ""OTHERPROV = Other provider organisation"", "" PCT = Primary care trust"", ""TRUST = NHS trust""*, ""TRUSTSITETC = Treatment centre at NHS trust site"""
07_generate_nhse_eng_inpat.R,rttperend,date between 2008-01-01 to 2035-12-31
07_generate_nhse_eng_inpat.R,rttperstart,date between 2008-01-01 to 2035-12-31
07_generate_nhse_eng_inpat.R,rttperstat,"""10 = First activity in a referral to treatment period (The first activity in a referral to treatment period where the first definitive treatment will be a subsequent activity)"", ""11 = First activity at the start of a new referral to treatment period (The first activity in a referral to treatment period where the first definitive treatment will be a subsequent activity)"", ""12 = First activity at start of a new referral to treatment period following a dsecision to refer directly to the consultant or NHS allied health professional service (referral to treatment measurement) for a separate condition (The first activity in a referral to treatment period where the first definitive treatment will be a subsequent activity)"", ""20 = Subsequent activity during a referral to treatment period - further activities anticipated (Subsequent activity during a referral to treatment period)"", ""21 - Subsequent activity by another health care provider following a transfer to another health care provider during a referral to treatment period anticipated (Subsequent activity during a referral to treatment period)"", ""30 = Start of first definitive treatment (Activity that ends the referral to treatment period)"", ""31 = Start of active monitoring initiated by the patient (Activity that ends the referal to treatment period)"", ""32 = Start of active monitoring initiated by the care professional (Activity that ends the referral to treatment period"", ""33 = Did not attend - the patient did not attend the first care activity after the referral1 (Activity that ends the referral to treatment period)"", "" 34 = Decision not to treat - decision not to treat made or no further contact required2 (Activity that ends the referral to treatment period)"", ""35 = Patient declined offered treatment (Activity that ends the referral to treatment period)"",""36 = Patient died before treatment (Activity that ends the referral to treatment period)"", ""90 = After treatment - first definitive treament occurred previously (e.g. admitted as an emergency from A&E or the activity is after the start of treatment) (Activity that is not part of a referral treatment period)"", ""91 = Care activity during active monitoring (Activity that is not part of a referral treatment period)"", ""92 - Not yet referred for treatment undergoing diagnostic tests by general practitioner before referral (Activity that is not part of a referral treatment period)"", ""98 = Not applicable - activity not applicable to referral to treatment periods (Activity that is not part of a referral treatment period)"", ""99 = Not yet known (Activity where the referral to treatment period status is not yet known)"""
07_generate_nhse_eng_inpat.R,spelbgin,"""1 = First episode of spell that started in a previous year"", ""2 = First episode of spell that started in current year"", ""0 = Not the first episode of spell"""
07_generate_nhse_eng_inpat.R,spelend,"""Y = Last episode of spell"", ""N = Not last episode of spell"""
07_generate_nhse_eng_inpat.R,susrecid,Null or random numbers of varying lengths from 13 to 19 digits
07_generate_nhse_eng_inpat.R,susspellid,same as susrecid
07_generate_nhse_eng_inpat.R,tretspef,"refer to tretspef_possible_values (most common value is ""110 = Trauma and Orthopaedix Service"""
09_generate_nhse_eng_ed.R,aearrivalmode,"""1 = Brought in by ambulance (including helicopter / Air Ambulance)"", ""2 = Other""*, ""9 = Not known"""
09_generate_nhse_eng_ed.R,aeattendcat,"""1 = First A&E attendance""*, ""2 =Follow-up A&E attendance - planned"", ""3 = Follow-up A&E attendance - unplanned"", ""9 = Not known"""
09_generate_nhse_eng_ed.R,aeattenddisp,"""01 = Admitted to hospital b ed / became a lodged patient of the same healthcare provider""*, ""02 = Discharged - follow-up treatment to be provided by general practitioner""*, ""03 = Discharged - did not require any follow-up treatment""*, ""04 = Referred to A&E clinic"", ""05 = Referred to fracture clinic"", ""06 = Referred to other outpatient clinic"", ""07 = Transferred to other healthcare provided"", ""10 = Died in department"", ""11 = Referred to other healthcare professional"", ""12 = Left department before being treated"", ""13 = Left department having refused treatment"", ""14 = Other"""
09_generate_nhse_eng_ed.R,aedepttype,"""01 = Emergency departments are a consultant led 24-hour service with full resuscitation facilities and designated accomodation for the receptionm of accident and emergency patients"", ""02 = Consultant-led mono speciality accident and emergency service (e.g. opthalmology dental) with designated accommodation for the reception of patients"", ""03 = Other type of A&E/minor injury activity with designated accommodation for the reception of accident and emergency patients. The department may be doctor led or nurse led and treats at least minor injuries and illnesses and can be routinely accessed without appointment. A service mainly or entirely appointment based (for example a GP practice or outpatient clinic) is excluded evenm though it may treat a number of patients with minor illness or injury. Excludes NHS walk-in centres"", ""04 = NHS walk-in centres"" , ""05 = Same Day Emergency Care (SDEC)"", ""99 = Not Known"""
09_generate_nhse_eng_ed.R,aerefsource,"""00 = General medical practicioner"", ""01 = Self referral"", ""02 = Local authority social services"", ""03 = Emergency services"", ""04 = Work"", ""05 = Educational establishment"", ""06 = Police"" , ""07 = Health care provider: same or other"", ""08 = Other"", ""92 = General dental practitioner"", ""93 = Community dental service"", ""99 = Not known"""
09_generate_nhse_eng_ed.R,arrivaldate,date between 2007-01-01 and 2020-09-01
09_generate_nhse_eng_ed.R,concltime,"""3000 = Invalid time submitted"" [0 people have this], ""4000 = Null time submitted"" [only 5% have this one]"
09_generate_nhse_eng_ed.R,deptime,"""3000 = Invalid time submitted"" [0 people have this], ""4000 = Null time submitted"" [only 2% have this one]"
09_generate_nhse_eng_ed.R,arrivaltime,"4 digit number detailing military time (can be set randomly to any time e.g ""1819"")"
09_generate_nhse_eng_ed.R,aekey,random 12 digit number
09_generate_nhse_eng_ed.R,epikey,random numbers 11-19 digits long
09_generate_nhse_eng_ed.R,imd04_decile,"""Least deprived 10%"", ""More deprived 30-40%"", ""Most deprived ""40-50%"", ""LESS DEPRIVED 10-20%"", ""Less deprived 10-20%"""
09_generate_nhse_eng_ed.R,invest2_01,"any one of these:01 = X-ray plain film, 02 = Electrocardiogram, 03 = Haematology, 04 = Cross match blood/group & save serum for later cross match,05 = Biochemistry, 06 = Urilysis, 07 = Bacteriology, 08 = Histology, 09 = Computerised tomography (retired 2006), 10 = Ultrasound, 11 = Magnetic resonance imaging, 12 = Computerised tomography (exc genito urinary contrast examition/tomography), 13 = Genito urinary contrast exami tion/tomography, 14 = Clotting studies,15 = Immunology,16 = Cardiac enzymes,17 = Arterial/capillary blood gas,18 = Toxicology,19 = Blood culture,20 = Serology,21 = Preg ncy test,22 = Dental investigation,23 = Refraction, orthoptic tests and computerised visual fields,24 = None,99 = Other. invest2_01 will have a vlaue for everyone, invest_02 will hae for 40%, then 03 for 20% then occasional outliers having diagnoses in the following invest2 columns up to _12. majority will have ""24 = None"""
09_generate_nhse_eng_ed.R,invest2_02,
09_generate_nhse_eng_ed.R,invest2_03,
09_generate_nhse_eng_ed.R,invest2_04,
09_generate_nhse_eng_ed.R,invest2_05,
09_generate_nhse_eng_ed.R,invest2_06,
09_generate_nhse_eng_ed.R,invest2_07,
09_generate_nhse_eng_ed.R,invest2_08,
09_generate_nhse_eng_ed.R,invest2_09,
09_generate_nhse_eng_ed.R,invest2_10,
09_generate_nhse_eng_ed.R,invest2_11,
09_generate_nhse_eng_ed.R,invest2_12,
09_generate_nhse_eng_ed.R,procode3_ofh,random numbers 6 digits long
